,SID31004,SID31009,SID31021,SID31030,SID31071,SID31112,SID31129,SID31137,SID31159,SID31160,SID31188,SID31219,SID31223,SID31233,SID31236,SID31237,SID31256,SID31267,SID31275,SID31276,SID31282,SID31285,SID31300,SID31328,SID31333,SID31337,SID31343,SID31360,SID31367,SID31379,SID31398,SID31416,SID31424,SID31428,SID31431,SID31446,SID31449,SID31450,SID31452,SID31455,SID31477,SID31489,SID31493,SID31501,SID31512,SID31519,SID31537,SID31549,SID31557,SID31582,SID31637,SID31685,SID31700,SID31705,SID31711,SID31714,SID31723,SID31749,SID31750,SID31766,SID31865,SID31866,SID31868,SID31870,SID31871,SID31872,SID31873,SID31874,SID31875,SID31876,SID31877,SID31878,SID31879,SID31880,SID31881,SID31883,SID31884,SID530002,SID530018,SID530026,SID530028,SID530039,SID530041,SID530050,SID530052,SID530054,SID530055,SID530074,SID530075,SID530119,SID530142,SID530154,SID530163,SID530167,SID530168,SID530172,SID530177,SID530185,SID530215,SID530227,SID530251,SID530258,SID530262,SID530295,SID530297,SID530315,SID530323,SID530331,SID530348,SID530364,SID530368,SID530373,SID530394,SID530398,SID530403,SID530444,SID530450,SID530451,SID530558,SID530600,SID530623,SID530697,SID530705,SID530743,SID530756,SID530840,SID530867,SID530890,SID531128,SID531155,SID531248,SID531274,SID531277,SID531281,SID531333,SID531352,SID531361,SID531382,SID531403,SID531414,SID531416,SID531424,SID531469,SID531663,SID531766,SID531775,SID532305,SID532749,SID532779,SID532796,SID532802,SID532826,SID532832,SID532915
UNMAPPED,0.18532,0.283803,0.20424,0.253765,0.21606,0.20954,0.188614,0.208453,0.119249,0.269025,0.299294,0.206811,0.393084,0.194455,0.216241,0.196417,0.202548,0.259264,0.295534,0.285151,0.197149,0.28053,0.284343,0.253748,0.211013,0.146412,0.134572,0.196233,0.0746892,0.179497,0.184413,0.208727,0.197306,0.197661,0.235532,0.141323,0.188704,0.13109,0.259811,0.233697,0.249592,0.283741,0.171905,0.206654,0.193847,0.288931,0.208877,0.348225,0.173658,0.229839,0.128339,0.309832,0.247033,0.084826,0.180716,0.130694,0.177517,0.241369,0.269862,0.200686,0.220048,0.260057,0.19701,0.259999,0.203778,0.218472,0.257819,0.231128,0.225689,0.160097,0.226725,0.255171,0.160689,0.200954,0.390395,0.169092,0.219454,0.207912,0.172457,0.244002,0.222013,0.165376,0.314903,0.25797,0.173908,0.237675,0.245653,0.156328,0.109013,0.215777,0.226674,0.178258,0.177293,0.278128,0.213452,0.194396,0.206162,0.249703,0.220467,0.209677,0.248206,0.216301,0.256299,0.358152,0.235364,0.180311,0.228889,0.389578,0.168659,0.166888,0.199679,0.259988,0.219493,0.187471,0.185836,0.255727,0.228408,0.26298,0.205873,0.321384,0.279228,0.202829,0.203065,0.287782,0.136811,0.118705,0.237248,0.247449,0.273975,0.205763,0.219349,0.0603648,0.196278,0.175397,0.204403,0.252629,0.222932,0.250402,0.212902,0.206014,0.201887,0.121959,0.211021,0.256556,0.171395,0.234041,0.196424,0.224435,0.241701,0.234433,0.250495,0.205528,0.235093,0.25182
UniRef90_A7B5X2,0.000674853,0.00060487,0.000611847,0.000734353,0.000915965,0.000935781,0.00118394,0.00113715,0.000487551,0.000848463,0.000558809,0.000574839,4.96729e-05,0.00144627,0.000509777,0.000807404,0.00104584,0.000632662,0.000399962,0.000547594,0.000931181,0.00044673,0.00062792,0.000568227,0.000727981,0.00158306,0.000219045,0.000829146,0.000158282,0.00117744,0.00109973,0.00169669,0.000923881,0.000967827,0.000639176,0.000378634,0.00108664,0.000638167,0.000423771,0.000599192,0.00075407,0.00074342,0.00036575,0.00104807,0.000834673,0.000392606,0.000789288,0.000767116,0.000657785,0.000752294,0.000581048,0.000437156,0.000512092,0.000186754,0.00110458,0.000750638,0.00135296,0.000568544,0.000730177,0.00108307,0.000947406,0.000450562,0.000263336,0.000724931,0.000611984,0.000584537,0.0004863,0.000321746,0.000564919,0.000198307,0.000354626,0.000490183,0.000200385,0.000459875,0.000297502,0.000202757,0.000519965,0.000740334,0.00100315,0.000637981,0.000582474,0.00135606,0.000415463,0.000460364,0.00118673,0.000476541,0.000675338,0.000908781,0.000365902,0.000795388,0.000693081,0.00123636,0.00126503,0.000347185,0.000629406,0.00101658,0.00125096,0.000357754,0.000521637,0.00121884,0.00114212,0.000824681,0.000791836,0.000486659,0.000860463,0.000669336,0.000591657,0.000321131,0.000920465,0.00120395,0.00111722,0.000529261,0.000377339,0.000850696,0.000830714,0.000796148,0.000771392,0.000417716,0.00076658,0.000441944,0.000451187,0.000779472,0.000764637,0.000427552,0.000464286,0.000119519,0.000467182,0.000549566,0.000354425,0.000734946,0.000336768,1.6818e-05,0.000512647,0.000458848,0.000833936,0.000232677,0.00027234,0.000106599,0.000515968,0.000630324,0.000716119,5.12293e-05,0.000675019,0.000398431,0.000351764,0.000889298,0.000240153,0.001054,0.000358256,0.000318028,0.000330442,0.00079271,0.000451875,0.000298905
UniRef90_A5ZYU5,0.000844908,0.000819948,0.000980607,0.000395016,0.00145161,0.000827417,0.000861561,0,0.000290436,0.000982642,0.000686292,0.000573909,0.000476324,0.00177751,0.000694389,0.000617973,0.000815482,0.00106401,0.000310365,0.000559405,0.000638315,0.000385306,0.000362075,0.000476057,0.00113872,0.00132146,0.000677723,0.000465569,0.000122474,0.00098036,0.000666391,0.00137289,0.00141356,0.000509787,0.000287092,0.00022226,0.000802062,0.000529417,0.000252335,0.000386716,0.000539965,0.000347764,0.000218236,5.59116e-08,0.00124181,0.000553999,0.000565153,0.00128118,0.000535146,0.000599745,0,0.000791412,0.000298179,9.02614e-05,0,0.000542229,0.000434601,0.000379136,0.000403556,0.00157815,0.00113818,0.000236443,0.000158655,0.000450284,0.000567942,0.000370842,0.000239673,0.0002337,0.00140467,0.000228717,0.000270992,0.000511341,0.000516583,0.000215659,0.000388448,0.000138814,0.000470537,0.00112336,0.000733056,0.000763124,0.000455547,0.00207059,0.00059316,0.000303833,0.000894803,0.000505037,0.000983904,0.000647325,0.000246648,0.000564584,0.00106551,0.00115127,0,0.000195847,0.000535501,0.000857381,0.00083072,0.000391826,0.000622755,0,0.000943169,0.00120512,0.000403162,0.000451832,0.000509611,0.000978244,0.000927883,0.000600101,0.000572917,0.000919424,0.000785078,0.000361281,0.000442114,0.000617872,0.000958163,0.00119505,0.000493773,0.000457622,0,0.00058956,0.00055194,0.00077613,0,8.23443e-07,0,8.55839e-05,0.000490027,0.000299751,0.000465024,0.000464898,0.000231903,3.02126e-06,0.000757541,0.000290917,0.000675689,0.000110416,0.0001563,0,1.3019e-07,0.000439723,0.000513017,0,0.000510627,0.000576605,0.000382878,0,0,0.000700408,0.00125205,0.000158371,0.00037798,0.000557752,0.000567647,0.000209606
UniRef90_A5ZYU5|g__Blautia.s__Blautia_obeum,0.000844834,0.000819788,0.000980607,0.000394918,0.00145161,0.000827417,0.000861561,0,0.000264807,0.00098242,0.000686011,0.000573815,0.000476324,0.00177751,0.000694322,0.000617732,0.000815453,0.00106341,0.000310365,0.000559207,0.000638266,0.000385228,0.000362075,0.000476035,0.00113868,0.00132146,0.000677723,0.000465516,0.000122474,0.00098036,0.000663674,0.00137289,0.00141343,0.000509637,0.00028706,0.00022226,0.000802062,0.000529417,0.000252335,0.000386716,0.00053771,0.000347291,0.000218236,0,0.00124162,0.000553599,0.000565083,0.00128111,0.000535146,0.000599745,0,0.000790496,0.000298179,9.02614e-05,0,0.000542229,0.000434601,0.000379136,0.00040322,0.00157815,0.00113818,0.000232032,0.000157998,0.000450132,0.000567942,0.000370842,0.000238633,0.0002337,0.00132293,0.000228717,0.000270992,0.000510775,0.000516455,0.000209628,0.000383286,0.000131525,0.000470537,0.00112336,0.000733056,0.000762865,0.000455547,0.00207059,0.00059316,0.000303833,0.000894803,0.00050489,0.000983904,0.000647325,0.000246648,0.000564419,0.00106509,0.00115114,0,0.000195847,0.000535501,0.000857381,0.00083072,0.000391826,0.000622755,0,0.000943169,0.00120483,0.000403162,0.000451644,0.000509521,0.00097795,0.000927883,0.00059989,0.000572917,0.000919424,0.000785078,0.000360554,0.000441398,0.000617872,0.000958163,0.00119492,0.000493773,0.000457319,0,0.000589157,0.00055194,0.00077613,0,0,0,8.55279e-05,0.000489981,0.000299751,0.000465024,0.000464898,0.000227355,3.02126e-06,0.000757541,0.000290917,0.000675689,0.000110138,0.0001563,0,0,0.000439723,0.000491852,0,0.000510627,0.000576605,0.000382878,0,0,0.000700408,0.00125199,0.000158371,0.00037798,0.000557752,0.000567576,0.000209606
UniRef90_A5ZYU0,0.000749945,0.000549261,0.000667191,0.000498813,0.000971019,0.0010622,0.000922574,1.59606e-05,0.000253013,0.000913174,0.000502635,0.000697416,0.000251913,0.00116909,0.000882751,0.000740276,0.000811492,0.000795625,0.000407016,0.00053254,0.000829313,0.000395643,0.000448674,0.000571143,0.000840851,0.00144289,0.000414806,0.000596304,0.000140729,0.000790555,0.000545067,0.0016774,0.000964192,0.000496547,0.000475406,0.000210713,0.00084916,0.000729982,0.000422612,0.000494737,0.00064064,0.000720133,0.000356673,0.000148723,0.000790804,0.000563135,0.000570456,0.000712891,0.000528363,0.000804636,3.62149e-05,0.0005585,0.000666363,0.00012229,0.000174345,0.000576098,0.000226724,0.000674832,0.000539024,0.00113222,0.000756776,0.000305549,0.000227574,0.000413922,0.000710146,0.000889649,0.000319548,0.000277644,0.000599848,0.000292466,0.000398278,0.000525438,0.000262405,0.000307326,0.000193693,0.000176947,0.000375299,0.000659879,0.000729119,0.000526281,0.000592155,0.00110534,0.000330495,0.000427825,0.000990919,0.000433982,0.000825533,0.00092888,0.000261113,0.000704943,0.000745396,0.00135702,1.33922e-05,0.000439855,0.000731555,0.00120268,0.00145776,0.000575694,0.000622912,0.000109561,0.00113469,0.000794693,0.000523483,0.000558488,0.000879159,0.000663326,0.000809178,0.000277054,0.000528974,0.00091479,0.000974293,0.00073481,0.000384169,0.000676789,0.000733819,0.000765575,0.000705081,0.000461993,6.6386e-06,0.000478309,0.000492298,0.000651092,3.69295e-06,6.51024e-06,1.58547e-06,0.000134892,0.000457434,0.000390898,0.000393507,0.000374683,0.000230886,1.08315e-05,0.000474009,0.000256997,0.000896926,0.000375625,0.000234472,5.32674e-06,1.98918e-05,0.000567855,0.00047679,0,0.000467112,0.000576945,0.000251958,4.65172e-06,1.56764e-05,0.000432432,0.000495924,0.000475537,0.000501832,0.000689782,0.000436152,0.000385236
UniRef90_A5ZYU0|g__Blautia.s__Blautia_obeum,0.000749945,0.000547032,0.000667063,0.000498378,0.000969971,0.00106107,0.000922574,0,0.000252906,0.000913174,0.000502635,0.000696223,0.000251913,0.00116766,0.00088203,0.000739439,0.00081084,0.000793978,0.00040635,0.000531968,0.000828078,0.000395376,0.000448674,0.000570023,0.000839349,0.00144289,0.000414806,0.000594562,0.000140729,0.000790233,0.000545067,0.00167555,0.000963629,0.000496249,0.000475406,0.000210713,0.00084905,0.000729982,0.000421992,0.000493231,0.00064064,0.000719842,0.000356673,0,0.000790593,0.000562742,0.000570456,0.000711641,0.000528363,0.000804278,0,0.0005585,0.000666363,0.00012229,0,0.000576098,0.000226533,0.00067378,0.000539024,0.00113156,0.000756776,0.000305394,0.000227574,0.000413117,0.000710146,0.000888398,0.000319548,0.000276542,0.000599346,0.000292466,0.000398278,0.000525015,0.000262164,0.000306874,0.000193693,0.000176448,0.000375084,0.000658968,0.000728249,0.000526281,0.000591598,0.00110378,0.00032883,0.000427825,0.000990382,0.000433982,0.000824692,0.00092888,0.000261113,0.000704111,0.000745396,0.00135635,0,0.000439855,0.000730913,0.00120227,0.00145613,0.000574723,0.000622517,0,0.00113469,0.000794693,0.000522161,0.000558488,0.000878326,0.000663053,0.000808389,0.000276586,0.000527432,0.000913511,0.000974293,0.00073481,0.000384169,0.00067585,0.000733819,0.000765575,0.000705081,0.00046153,0,0.000477006,0.000491431,0.000651092,0,0,0,0.000134892,0.000457434,0.000390424,0.000392762,0.000374683,0.000230886,1.08315e-05,0.00047381,0.000256997,0.000896926,0.000375625,0.000234472,0,0,0.000566865,0.000475946,0,0.000467112,0.000576945,0.000251569,0,0,0.000432432,0.000495234,0.000475537,0.000500807,0.000689782,0.00043576,0.000383206
UniRef90_A0A0E1X896,0.000643269,0.00053096,0.000605734,0.000509046,0.000870124,0.000803287,0.000829986,6.09703e-06,0.000358283,0.000781034,0.00045818,0.000511809,0.000306635,0.00111446,0.000649665,0.000719622,0.000748365,0.000720231,0.000336403,0.000468816,0.000817234,0.000346055,0.000513159,0.000492518,0.000699298,0.000950322,0.000349264,0.000742952,0.00014021,0.000838305,0.000734764,0.00106212,0.000815054,0.000558644,0.000523825,0.000210376,0.000699772,0.000453407,0.000379115,0.00048758,0.000668785,0.000865953,0.000352582,3.75938e-06,0.000700648,0.000430686,0.000558382,0.000682802,0.000505935,0.000811813,8.86397e-07,0.000525077,0.000598928,0.00037802,2.12414e-06,0.000507826,0.000876892,0.000544481,0.000644252,0.00102565,0.000508339,0.000331674,0.000205773,0.000505841,0.000594224,0.000357927,0.000390767,0.000289986,0.000545184,0.000130421,0.00034115,0.000467032,0.00025015,0.00031449,0.000172706,0.000156303,0.000366941,0.000663864,0.000786644,0.000600607,0.000459439,0.000976593,0.000376458,0.000270972,0.000812655,0.000506274,0.000599685,0.000590384,0.000291255,0.000596789,0.000662118,0.000884127,1.12487e-05,0.000188974,0.00060134,0.000810034,0.000926358,0.000425376,0.00054942,1.10774e-06,0.000711224,0.000690423,0.000504917,0.000284992,0.000738819,0.00061671,0.000683857,0.000333116,0.000598804,0.000697647,0.000854756,0.000291082,0.000251739,0.000610248,0.000604513,0.000737151,0.000520126,0.000472694,8.53474e-07,0.000365971,0.000439255,0.000571172,2.19787e-06,9.95444e-06,7.4131e-06,0.000132064,0.000453199,0.000462842,0.000408076,0.000500202,0.000254943,4.28597e-05,0.000509592,0.000432042,0.000473456,0.000134282,0.000209802,5.90437e-07,3.60448e-07,0.00036259,0.000498121,5.32461e-07,0.000545808,0.000356811,0.000322903,2.10452e-06,0,0.000644087,0.000352998,0.000183516,0.000428242,0.000427631,0.000403266,0.000172616
UniRef90_A0A0E1X896|g__Blautia.s__Blautia_obeum,0.000641405,0.000524447,0.000603094,0.000505604,0.000866704,0.000798071,0.000827692,0,0.000357859,0.000775558,0.000454354,0.000508526,0.000303474,0.00110664,0.000645432,0.000718062,0.000746549,0.000714952,0.000329363,0.000464741,0.000810636,0.000341016,0.000510317,0.000489877,0.000693042,0.000945279,0.000349264,0.00073476,0.000139542,0.000836412,0.000730977,0.00105998,0.000806336,0.000557332,0.000519136,0.000209821,0.000698441,0.000441349,0.000373825,0.000483104,0.000653171,0.000280761,0.000350732,0,0.000698334,0.000428889,0.000555712,0.000674293,0.000499265,0.000806328,0,0.000513838,0.000592181,0.000375937,0,0.000507441,0.000874792,0.000542745,0.000633789,0.00102423,0.000506692,0.000324966,0.000204404,0.000503524,0.000591785,0.000356652,0.000385205,0.000287615,0.000540341,0.000130174,0.000339295,0.000464145,0.000248174,0.000312944,0.000169546,0.000155329,0.000364147,0.000661174,0.00078368,0.000594088,0.000456976,0.00097576,0.000370019,0.000270128,0.000811968,0.00050216,0.000594162,0.000586758,0.00029037,0.000592692,0.000659915,0.000877869,0,0.000187794,0.000598979,0.000808942,0.000923133,0.000422627,0.000544103,0,0.000710052,0.000686925,0.000502649,0.000282331,0.000734739,0.000615254,0.000680095,0.000329936,0.000598804,0.000696997,0.000851183,0.000289044,0.000250229,0.000608619,0.000603515,0.000728727,0.000519172,0.00046866,0,0.000362419,0.000433328,0.000570926,0,0,0,0.000130838,0.000449418,0.000455618,0.000403411,0.00049882,0.000252659,4.26553e-05,0.0005067,0.000419904,0.000471654,0.000133171,0.000209563,0,0,0.00036212,0.000496489,0,0.000339489,0.000355913,0.000322903,0,0,0.000640058,0.000351699,0.00018267,0.000426347,0.000425892,0.000402416,0.000170755
UniRef90_A7B6K2,0.000418385,0.000433882,0.000371705,0.000376299,0.000594186,0.000879782,0.000778173,0.00115966,0.000458542,0.000448544,0.000260655,0.000334607,0.000121708,0.000997082,0.000169666,0.000798985,0.00076885,0.000428747,0.000115553,0.000197813,0.000560135,0.000134042,0.000358451,0.000246339,0.000599304,0.00142642,0.000217437,0.000488979,0.000107526,0.000444977,0.000658659,0.00149665,0.000673041,0.000826847,0.000210638,0.000224807,0.000767183,0.000352425,0.000135655,0.000335535,0.000368433,0.000352316,0.000368322,0.00033598,0.000585701,0.000220378,0.000560178,0.000681901,0.000613055,0.000407048,0.000500227,0.000138333,0.000217448,0.000235216,0.00115619,0.000523526,0.000845548,0.000438437,0.000298375,0.000706788,0.000685641,0.000233354,0.000119103,0.000697798,0.000586175,0.000211554,0.000193509,0.000169248,0.000237784,7.27002e-05,0.000208079,0.000269199,0.000140497,0.000150041,0.000168293,5.96719e-05,0.000102837,0.000570133,0.000913692,0.000381081,0.000321401,0.00104273,0.000144046,0.000192805,0.000876623,0.000245258,0.000298783,0.000721593,0.000174264,0.000406297,0.000515065,0.00120859,0.00134302,0.000142768,0.000500569,0.000897073,0.00105727,0.000225921,0.000229859,0.00100633,0.000969137,0.000549655,0.000588433,0.000243585,0.000435687,0.000498077,0.000558807,0.000212882,0.000721566,0.000837344,0.000987448,0.00020311,0.000236607,0.000510427,0.00064478,0.000589181,0.000628898,0.00021619,0.000554703,0.000103633,0.000233265,0.000307132,0.000366163,0.000205124,0.000114515,3.44037e-05,0.00021636,0.000306742,0.000106773,0.000496262,0.000134392,6.25862e-06,0.000307571,0.000427949,0.000507924,0.000144038,0.000151546,2.01743e-05,0.000508856,0.00022821,0.000284486,4.77073e-05,0.000400322,0.000169419,0.000150176,0.000347999,0.000107858,0.00036123,0.000212574,0.000199556,0.000172782,0.000350373,0.000265847,0.000102875
UniRef90_A0A174QSW1,0.000414888,0.000330247,0.000345001,0.000373991,0.000533713,0.000681848,0.000694991,0.000904266,0.00041688,0.000538331,0.000352615,0.000320065,0.00014146,0.000922419,0.00043045,0.000557329,0.000693788,0.000384603,0.000123945,0.000345801,0.000544773,0.000184458,0.000255302,0.000254739,0.000456316,0.00109143,0.000215827,0.000382492,0.000102102,0.000515748,0.000583984,0.0010036,0.000709532,0.000500083,0.000256607,0.000198437,0.000682963,0.000297377,0.000181812,0.000296806,0.000325013,0.000247905,0.00029046,0.000792081,0.000544516,0.000211066,0.000386746,0.000534055,0.000466292,0.000382781,0.000354823,0.000278089,0.000258929,0.000193552,0.000894961,0.000474339,0.00044283,0.00033794,0.00026997,0.000650776,0.000646193,0.000153679,0.000122658,0.000478071,0.000558132,0.000390516,0.000239483,0.000171123,0.000303853,9.45499e-05,0.000256026,0.000350163,0.000154347,0.000180316,0.000104593,0.000138789,0.000277863,0.000646387,0.000641695,0.000323836,0.000297464,0.00094562,0.000124984,0.000191197,0.000657364,0.000230232,0.000284505,0.000527833,0.000177047,0.000440956,0.00040332,0.0010024,0.000871278,0.000159197,0.000450758,0.000812927,0.000699491,0.000203348,0.000422751,0.000529128,0.000891038,0.000481067,0.000419041,0.00026229,0.00052453,0.000453114,0.000496328,0.000192113,0.00048641,0.000689841,0.000577919,0.000293048,0.000161897,0.000496857,0.000625896,0.00055025,0.000521423,0.000207581,0.000421784,0.000147264,0.000203831,0.000519502,0.00059119,0.000270797,0.000428394,4.72871e-05,0.000295668,0.000312489,0.000161576,0.000354224,0.000158578,8.16053e-06,0.000302497,0.000252323,0.000528527,0.000126572,0.000113939,7.39579e-05,0.000356773,0.000287858,0.000399306,1.96119e-05,0.0003375,0.000350862,0.000187511,0.000401098,0.000163347,0.000645595,0.000193373,0.000170695,0.000179698,0.000497924,0.000200832,0.00013082
